"","site","yr_samp","BD_g_cm3","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","lat","long","thick","Article_ID","pool","pool_value","Study_ID"
"116","Canyon Creek","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,218
"117","Canyon Creek","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,218
"118","Canyon Creek","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,218
"119","Canyon Creek","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,218
"120","Canyon Creek","2006",1.35,10,20,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,218
"121","Canyon Creek","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,197
"122","Canyon Creek","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,197
"123","Canyon Creek","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,197
"124","Canyon Creek","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,197
"125","Canyon Creek","2006",1.422,0,10,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,197
"126","Canyon Creek","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,204
"127","Canyon Creek","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,204
"128","Canyon Creek","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,204
"129","Canyon Creek","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,204
"130","Canyon Creek","2006",1.35,10,20,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"BLAN2006","AGBC_g_m2",NA,204
"131","Vernon Hills","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,99
"132","Vernon Hills","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,99
"133","Vernon Hills","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,99
"134","Vernon Hills","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,99
"135","Vernon Hills","2006",1.422,0,10,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"BLAN2006","AGBC_g_m2",NA,99
