"site","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","thick","Article_ID","pool","pool_value","Study_ID","yr_samp","X1","MTBS_ID","MTBS_DISCOVERY_YEAR","lat","long","baecv_lyb","maxsat","last_year_burned","masterlyb","timesincefire"
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",10.49,578,2012,"53",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,62
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",13.53,578,2012,"54",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,62
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",17.72,578,2012,"55",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,62
"O",0,5,"no","cheatgrass","Jones et al. 2015",5,"JONE2015","AGBC_g_m2",16.47,578,2012,"56",NA,1950,41.536094,-117.7637079,1950,1950,NA,1950,62
"Rye",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",18.096,281,2004,"57","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",77.664,281,2004,"58","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",57.936,281,2004,"59","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",28.848,281,2004,"60","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",62.736,281,2004,"61","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",37.872,281,2004,"62","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",56.4,281,2004,"63","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",25.776,281,2004,"64","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",31.824,281,2004,"65","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"cheatgrass","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",60.336,281,2004,"66","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"salt_desert","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",49.776,291,2004,"67","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"salt_desert","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",246.528,291,2004,"68","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"salt_desert","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",18.24,291,2004,"69","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"salt_desert","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",124.512,291,2004,"70","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"salt_desert","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",61.2,291,2004,"71","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"salt_desert","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",377.664,291,2004,"72","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
"Rye",NA,NA,NA,"salt_desert","Bradley et al. 2006",NA,"BRAD2006","AGBC_g_m2",445.776,291,2004,"73","NV4050111851919990804",1999,40.57,-118.34,1999,1999,NA,1999,5
