"","site","yr_samp","AGBC_g_m2","BGBC_g_m2","litterC_g_m2","orgsoilperC","totsoilperC","BD_g_cm3","orgsoilC_g_m2","totsoilC_g_m2","topdepth_cm","bottomdepth_cm","BD_estimated","veg","study","lat","long","thick","study_year"
"120","Canyon Creek","2006",NA,NA,NA,0.516,NA,1.35,696.6,NA,10,20,"yes","sagecheat","Blank and Norton 2006",43.292,-115.748,10,"2006"
"121","Canyon Creek","2006",NA,NA,NA,0.614,NA,1.422,873.108,NA,0,10,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"2006"
"122","Canyon Creek","2006",NA,NA,NA,0.369,NA,1.422,524.718,NA,0,10,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"2006"
"123","Canyon Creek","2006",NA,NA,NA,0.849,NA,1.422,1207.278,NA,0,10,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"2006"
"124","Canyon Creek","2006",NA,NA,NA,0.813,NA,1.422,1156.086,NA,0,10,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"2006"
"125","Canyon Creek","2006",NA,NA,NA,0.637,NA,1.422,905.814,NA,0,10,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"2006"
"126","Canyon Creek","2006",NA,NA,NA,0.374,NA,1.35,504.9,NA,10,20,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"2006"
"127","Canyon Creek","2006",NA,NA,NA,0.27,NA,1.35,364.5,NA,10,20,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"2006"
"128","Canyon Creek","2006",NA,NA,NA,0.53,NA,1.35,715.5,NA,10,20,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"2006"
"129","Canyon Creek","2006",NA,NA,NA,0.705,NA,1.35,951.75,NA,10,20,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"2006"
"130","Canyon Creek","2006",NA,NA,NA,0.62,NA,1.35,837,NA,10,20,"yes","sagebrush","Blank and Norton 2006",43.292,-115.748,10,"2006"
"131","Vernon Hills","2006",NA,NA,NA,1.14,NA,1.422,1621.08,NA,0,10,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"2006"
"132","Vernon Hills","2006",NA,NA,NA,1.1,NA,1.422,1564.2,NA,0,10,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"2006"
"133","Vernon Hills","2006",NA,NA,NA,1.57,NA,1.422,2232.54,NA,0,10,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"2006"
"134","Vernon Hills","2006",NA,NA,NA,1.44,NA,1.422,2047.68,NA,0,10,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"2006"
"135","Vernon Hills","2006",NA,NA,NA,1.37,NA,1.422,1948.14,NA,0,10,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"2006"
"136","Vernon Hills","2006",NA,NA,NA,0.674,NA,1.35,909.9,NA,10,20,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"2006"
"137","Vernon Hills","2006",NA,NA,NA,0.703,NA,1.35,949.05,NA,10,20,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"2006"
"138","Vernon Hills","2006",NA,NA,NA,0.801,NA,1.35,1081.35,NA,10,20,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"2006"
"139","Vernon Hills","2006",NA,NA,NA,0.841,NA,1.35,1135.35,NA,10,20,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"2006"
"140","Vernon Hills","2006",NA,NA,NA,1.06,NA,1.35,1431,NA,10,20,"yes","sagecheat","Blank and Norton 2006",40.111,-112.344,10,"2006"
"141","Vernon Hills","2006",NA,NA,NA,0.963,NA,1.422,1369.386,NA,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"142","Vernon Hills","2006",NA,NA,NA,1.11,NA,1.422,1578.42,NA,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"143","Vernon Hills","2006",NA,NA,NA,1.09,NA,1.422,1549.98,NA,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"144","Vernon Hills","2006",NA,NA,NA,0.951,NA,1.422,1352.322,NA,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"145","Vernon Hills","2006",NA,NA,NA,0.957,NA,1.422,1360.854,NA,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"146","Vernon Hills","2006",NA,NA,NA,0.83,NA,1.35,1120.5,NA,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"147","Vernon Hills","2006",NA,NA,NA,0.765,NA,1.35,1032.75,NA,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"148","Vernon Hills","2006",NA,NA,NA,1.01,NA,1.35,1363.5,NA,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"149","Vernon Hills","2006",NA,NA,NA,2.05,NA,1.35,2767.5,NA,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"150","Vernon Hills","2006",NA,NA,NA,0.775,NA,1.35,1046.25,NA,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"151","Vernon Hills","2006",NA,NA,NA,1.45,NA,1.422,2061.9,NA,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"152","Vernon Hills","2006",NA,NA,NA,1.29,NA,1.422,1834.38,NA,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"153","Vernon Hills","2006",NA,NA,NA,0.989,NA,1.422,1406.358,NA,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"154","Vernon Hills","2006",NA,NA,NA,1.85,NA,1.422,2630.7,NA,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"155","Vernon Hills","2006",NA,NA,NA,1.61,NA,1.422,2289.42,NA,0,10,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"156","Vernon Hills","2006",NA,NA,NA,1.03,NA,1.35,1390.5,NA,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"157","Vernon Hills","2006",NA,NA,NA,1.2,NA,1.35,1620,NA,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"158","Vernon Hills","2006",NA,NA,NA,0.72,NA,1.35,972,NA,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"159","Vernon Hills","2006",NA,NA,NA,2.49,NA,1.35,3361.5,NA,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"160","Vernon Hills","2006",NA,NA,NA,2.91,NA,1.35,3928.5,NA,10,20,"yes","sagebrush","Blank and Norton 2006",40.111,-112.344,10,"2006"
"161","Simpson Springs","2006",NA,NA,NA,1,NA,1.422,1422,NA,0,10,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"2006"
"162","Simpson Springs","2006",NA,NA,NA,1.24,NA,1.422,1763.28,NA,0,10,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"2006"
"163","Simpson Springs","2006",NA,NA,NA,0.993,NA,1.422,1412.046,NA,0,10,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"2006"
"164","Simpson Springs","2006",NA,NA,NA,2.13,NA,1.422,3028.86,NA,0,10,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"2006"
"165","Simpson Springs","2006",NA,NA,NA,0.996,NA,1.422,1416.312,NA,0,10,"yes","sagecheat","Blank and Norton 2006",40.08,-112.737,10,"2006"
